cod,nome,lon,lat,tipo,area_km2
47001,MARACANÃ,-47.5,-0.8333,pluviometrica,
47002,SALINÓPOLIS,-47.3536,-0.6231,pluviometrica,
47003,CURUÇA,-47.8536,-0.7375,pluviometrica,
47004,PRIMAVERA,-47.0994,-0.9294,pluviometrica,
47005,MARUDA,-47.6583,-0.6336,pluviometrica,
47006,SÃO JOÃO DE PIRABAS,-47.1775,-0.7747,pluviometrica,
47007,MAGALHÃES BARATA,-47.5997,-0.7944,pluviometrica,
48000,SOURE (ILHA DE MARAJÓ),-48.5158,-0.7278,pluviometrica,
48002,CÂMARA,-48.6333,-0.9,pluviometrica,
49007,SANTA LUZIA,-49.9,-0.4,pluviometrica,
49008,FAZENDA GLÓRIA,-49.4,-0.5333,pluviometrica,
49009,ANAJÁS,-49.9394,-0.9853,pluviometrica,
49010,CHAVES,-49.9786,-0.1656,pluviometrica,
49011,SANTA CRUZ DO ARARI,-48.9597,-1.0158,pluviometrica,
49012,CACHOEIRA DO ARARI,-49.1711,-0.6653,pluviometrica,
50000,CHAVES,-50.0,-0.15,pluviometrica,
50001,AFUÁ,-50.3833,-0.1,pluviometrica,
50002,JUPATI,-50.7,-0.8,pluviometrica,
50003,AFUÁ,-50.3894,-0.1603,pluviometrica,
48003,FAZENDA TAPERA (MARAJÓ),-48.7833,-0.55,pluviometrica,
48004,FAZENDA LIVRAMENTO,-48.5167,-0.3333,pluviometrica,
48005,MANDUBE,-48.9167,-0.2,pluviometrica,
48006,VIGIA,-48.1103,-0.8681,pluviometrica,
49001,SANTA CRUZ DO ARARI (I. MARAJÓ),-49.1667,-0.6167,pluviometrica,
49003,FAZENDA SÃO SEBASTIÃO,-49.7667,-0.8333,pluviometrica,
49004,ARAPIXI,-49.4667,-0.2167,pluviometrica,
49006,FAZENDA CAJUEIRO (MARAJÓ),-49.2667,-0.25,pluviometrica,
51000,PORTO SANTANA,-51.1833,-0.05,pluviometrica,
51001,MACAPA,-51.0667,-0.05,pluviometrica,
51002,NAVIO,-51.4203,-0.3992,pluviometrica,
51004,VILA DO MARACÁ,-51.7358,-0.1806,pluviometrica,
51005,BOM JARDIM,-51.6239,-0.7947,pluviometrica,
52003,SÃO PEDRO,-52.0775,-0.4567,pluviometrica,
52004,UHE SANTO ANTÔNIO DO JARI CHAFARIZ DE CIMA,-52.9344,-0.1392,pluviometrica,
52005,UHE SANTO ANTÔNIO DO JARI ITAPEUARA,-52.6931,-0.4914,pluviometrica,
52006,UHE SANTO ANTÔNIO DO JARI IRATAPURU,-52.5792,-0.5572,pluviometrica,
52007,UHE SANTO ANTÔNIO DO JARI MORENO,-52.5214,-0.5661,pluviometrica,
52008,UHE SANTO ANTÔNIO DO JARI CACHOEIRA,-52.5075,-0.6514,pluviometrica,
52009,UHE SANTO ANTÔNIO DO JARI JUSANTE,-52.5161,-0.6619,pluviometrica,
53001,PORTO PUXURI,-53.8469,-0.2139,pluviometrica,
59001,UHE PITINGA JUSANTE,-59.6011,-0.8661,pluviometrica,
59002,UHE PITINGA MONTANTE,-59.7761,-0.585,pluviometrica,
59003,UHE PITINGA SERRA,-59.7772,-0.5956,pluviometrica,
60000,BASE ALALAÚ,-60.5219,-0.8558,pluviometrica,
60001,FAZENDA SÃO LUCAS,-60.6908,-0.2275,pluviometrica,
61000,SANTA MARIA DO BOIAÇU,-61.7858,-0.5067,pluviometrica,
61001,TERRA PRETA,-61.9317,-0.8731,pluviometrica,
62000,BARCELOS,-62.9286,-0.9711,pluviometrica,
62002,BARCELOS,-62.9311,-0.9658,pluviometrica,
63000,CUMARU,-63.3978,-0.5983,pluviometrica,
65001,TAPURUQUARA,-65.0153,-0.4203,pluviometrica,
65002,BACURI,-65.2122,-0.5406,pluviometrica,
66000,LIVRAMENTO,-66.1533,-0.2889,pluviometrica,
66002,CURICURIARI,-66.8033,-0.2017,pluviometrica,
67000,SÃO GABRIEL DA CACHOEIRA,-67.0611,-0.1253,pluviometrica,
67002,TUMBIRA,-67.5358,-0.3444,pluviometrica,
71000,QUINCHE,-71.8,-0.9167,pluviometrica,
